canonical_stock_id,ticker,name,exchange,valid_from,valid_to,source,mapping_status
CMIN-CN:000100.SZ,000100.SZ,TCL科技,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000800.SZ,000800.SZ,一汽解放,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600309.SH,600309.SH,万华化学,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:603392.SH,603392.SH,万泰生物,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000002.SZ,000002.SZ,万科A,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600031.SH,600031.SH,三一重工,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002555.SZ,002555.SZ,三七互娱,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601360.SH,601360.SH,三六零,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600905.SH,600905.SH,三峡能源,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300408.SZ,300408.SZ,三环集团,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002050.SZ,002050.SZ,三花智控,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600104.SH,600104.SH,上汽集团,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600848.SH,600848.SH,上海临港,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601607.SH,601607.SH,上海医药,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600009.SH,600009.SH,上海机场,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002252.SZ,002252.SZ,上海莱士,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601229.SH,601229.SH,上海银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600018.SH,600018.SH,上港集团,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002602.SZ,002602.SZ,世纪华通,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000301.SZ,000301.SZ,东方盛虹,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600958.SH,600958.SH,东方证券,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:300059.SZ,300059.SZ,东方财富,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002271.SZ,002271.SZ,东方雨虹,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:605499.SH,605499.SH,东鹏饮料,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601066.SH,601066.SH,中信建投,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000708.SZ,000708.SZ,中信特钢,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:600030.SH,600030.SH,中信证券,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:601998.SH,601998.SH,中信银行,SH,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:002607.SZ,002607.SZ,中公教育,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-CN:000063.SZ,000063.SZ,中兴通讯,SZ,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
