src_entity_id,src_entity_name,src_entity_type,dst_entity_id,dst_entity_name,dst_entity_type,src_ticker,dst_ticker,relation_type,counterparty_type,amount,ratio,report_period,report_type,announcement_date,valid_from,valid_to,source_file,page_number,evidence_text,source,record_status
CMIN-CN:000066.SZ,中国长城,stock,CMIN-CN:601398.SH,工商银行,stock,000066.SZ,601398.SH,supplies_to,customer,234593100.00,0.0234,2018,annual,2019-04-29,2019-04-29,2020-04-28,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/000066_2018_annual_2019-04-29.pdf,16,"前五名客户合计销售金额（元）1,536,201,349.93前五名客户合计销售金额占年度销售总额比例15.35%前五名客户销售额中关联方销售额占年度销售总额比例2.96%公司前5大客户资料序号客户名称销售额（元）占年度销售总额比例1PHILIPSELECTRONICSSINGAPOREPTELTD.466,059,783.214.66%2桂林长海科技有限责任公司295,804,183.722.96%3客户A290,305,400.002.90%4Procter&GambleInternationalOperationsSA249,438,883.002.49%5中国工商银行股份有限公司234,593,100.002.34%合计--1,536,201,349.9315.35%主要客户其他情况说明√适用□不适用前五名客户中桂林长海科技有限责任公司为本公司持股41.525%的参股企业，同时也为本公司实际控制人的控股公司；除此外，本公司与其他四名客户不存在关联关系；本公司董事、监事、高级管理人员等在主要客户中未直接或者间接拥有权益。公司",CNInfo annual report downloaded locally,constructed_entity_edge_from_downloaded_cninfo_report
CMIN-CN:000301.SZ,东方盛虹,stock,ENTITY:071152925a88a798d598,3青岛嘉德瑞工贸有限公司,company_entity,000301.SZ,,supplies_to,customer,366211414.62,0.0147,2019,annual,2020-04-08,2020-04-08,2021-04-13,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/000301_2019_annual_2020-04-08.pdf,22,"前五名客户合计销售金额（元）2,323,458,666.79前五名客户合计销售金额占年度销售总额比例9.33%前五名客户销售额中关联方销售额占年度销售总额比例0.00%公司前5大客户资料序号客户名称销售额（元）占年度销售总额比例1河南能源化工集团采购有限公司874,755,934.653.51%2ASIFTEXTILES369,804,978.861.49%3青岛嘉德瑞工贸有限公司、太仓中瑞贸易有限公司366,211,414.621.47%4江苏德赛化纤有限公司361,103,920.971.45%5山东朗晖石油化学股份有限公司351,582,417.691.41%合计--2,323,458,666.799.33%主要客户其他情况说明√适用□不适用青岛嘉德瑞工贸有限公司、太仓中瑞贸易有限公司为同一控制下企业。公司",CNInfo annual report downloaded locally,constructed_entity_edge_from_downloaded_cninfo_report
CMIN-CN:000651.SZ,格力电器,stock,ENTITY:0bc1c034edcdfbcd9308,河南盛世欣兴格力贸易有限公司,company_entity,000651.SZ,,supplies_to,customer,,,2019,annual,2020-04-29,2020-04-29,2021-04-27,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/000651_2019_annual_2020-04-29.pdf,25,主要客户其他情况说明√适用□不适用前五名客户中，河南盛世欣兴格力贸易有限公司，为公司的关联方，除此之外，其他客户与公司不存在关联关系，公司董事、监事、高级管理人员、核心技术人员、持股5%以上股东、实际控制人和其他关联方未在其他客户中直接或者间接拥有权益。公司,CNInfo annual report downloaded locally,constructed_entity_edge_from_downloaded_cninfo_report
CMIN-CN:300999.SZ,金龙鱼,stock,CMIN-CN:000876.SZ,新希望,stock,300999.SZ,000876.SZ,supplies_to,supplier,3494335859.68,0.0269,2021,annual,2022-04-27,2022-04-27,2022-04-27,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/000876_2021_annual_2022-04-27.pdf,33,"前5名供应商资料序号供应商名称采购额（元）占年度采购总额比例1中粮集团有限公司9,729,096,480.007.48%2中国储备粮管理集团有限公司5,470,189,050.394.21%3益海嘉里金龙鱼粮油食品股份有限公司3,494,335,859.682.69%4山东泰山粮食储备集团有限公司2,725,473,259.982.10%5北京首农食品集团有限公司1,825,796,575.161.40%合计--23,244,891,225.2117.87%主要供应商其他情况说明□适用√不适用3、费用单位：元2021年2020年同比增减销售费用1,790,684,604.271,453,469,438.6223.20%管理费用4,316,753,629.653,430,565,329.4025.83%财务费用1,117,226,605.91899,988,879.0124.14%研发费用289,828,631.61265,174,311.019.30%4、研发投入√适用□不适用主要研发项目名称项目目的项目进展拟达到的目标预计对公司未来发展的影响家禽智能称重系统的研发与应用建立一种家禽体重自动估算模型，实时自动估测家禽体重。已现场取数5000多条，初步建模，同期推演精度为92%。精准度大于等于95%降低人工称重产生的动物应激；通过对体重实时关注，及时调整养殖过程操作，提升养殖能力，打强自养基地，为公司下游端原料稳定供应提供基础保障。肉鸭集中育雏分散育肥模式的研发与应用建立一套集中育雏分散育肥的硬件标准及管理、运营模式。已建立一个试验场，并在部分区域推进。节省0.1元/只的取暖费；增加10%的养殖效率。在不增加硬件的基础上，养殖量可提升10%，以后还可推进公司+农户性质的集中育雏分散育肥模式，整体提升棚舍利用率，降低养殖费用的同时增加公司原料的稳定性。自动出鸭/出鸡系统的研发与应用开发抓、转、运、装、卸一体化的自动出禽系各系统均已制样并进行现场试验降低途死率和残次率50-70%；提升出鸡/鸭效率打通肉鸭养殖最后一公里，降低出鸭费用，降低残次及",CNInfo annual report downloaded locally,constructed_entity_edge_from_downloaded_cninfo_report
CMIN-CN:001979.SZ,招商蛇口,stock,ENTITY:ccb99e183e655ae25427,2粤荣（天津）租赁有限公司,company_entity,001979.SZ,,supplies_to,customer,57536.27,0.0059,2019,annual,2020-04-20,2020-04-20,2021-03-21,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/001979_2019_annual_2020-04-20.pdf,40,"前五名客户合计销售金额（万元）295,701.65前五名客户合计销售金额占年度销售总额比例3.03%前五名客户销售额中关联方销售额占年度销售总额比例0.59%公司前5大客户资料序号客户名称销售额（万元）占年度销售总额比例1客户一107,007.401.10%2粤荣（天津）租赁有限公司（注）57,536.270.59%3客户三49,680.760.51%4客户四40,815.990.42%5客户五40,661.230.41%合计--295,701.653.03%注：详见本报告“第五节第十六项、重大关联交易”。公司",CNInfo annual report downloaded locally,constructed_entity_edge_from_downloaded_cninfo_report
CMIN-CN:002594.SZ,比亚迪,stock,CMIN-CN:603486.SH,科沃斯,stock,002594.SZ,603486.SH,supplies_to,customer,,,2018,annual,2019-03-27,2019-03-27,2020-04-20,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/002594_2018_annual_2019-03-27.pdf,10,主要客户包括三星、华为、苹果、小米、vivo、联想等智能移动终端领导厂商。比亚迪为全球领先的二次充电电池制造商之一，主要客户包括三星、Dell等消费类电子产品领导厂商，以及科沃斯、iRobot等全球领先的机器人专业智造品牌厂商。本集团生产的锂离子电池及镍电池广泛应用于各种消费类电子产品及新型智能产品领域。城市轨道交通业务是比亚迪未来发展的战略方向之一。凭借在新能源业务领域业已建立的技术和成本优势，集团成功研发出高效率、低成本的跨座式单轨——“云轨”产品，配合新能源汽车实现对城市公共交通的立体化覆盖，在帮助城市解决交通拥堵和空气污染的同时，实现集团的长远及可持续发展。二、主要资产重大变化情况1、主要资产重大变化情况主要资产重大变化说明股权资产主要是投资对象的股票公允价值下降，同时对联营、合营公司的投资额增加影响固定资产基本持平无形资产主要是专利权与土地使用权增加所致在建工程主要是电池业务和汽车业务投入增加所致应收票据及应收账款主要是本期执行新的金融工具准则将部分应收账款计入合同资产，以及将既以收取合同现金流量为目标又以出售为目标的的应收票据及应收账款计入其他流动资产所致合同资产主要是本期执行新的金融工具准则将部分应收账款计入合同资产所致存货主要是汽车业务需求增加所致2、主要境外资产情况√适用□不适用,CNInfo annual report downloaded locally,constructed_entity_edge_from_downloaded_cninfo_report
CMIN-CN:002594.SZ,比亚迪,stock,CMIN-CN:603486.SH,科沃斯,stock,002594.SZ,603486.SH,supplies_to,customer,,,2019,annual,2020-04-21,2020-04-21,2021-03-28,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/002594_2019_annual_2020-04-21.pdf,10,"主要客户包括华为、三星、苹果、小米、vivo、联想等智能移动终端领导厂商。比亚迪为全球领先的二次充电电池制造商之一，主要客户包括三星、Dell等消费类电子产品领导厂商，以及科沃斯、iRobot等全球领先的机器人专业智造品牌厂商。本集团生产的锂离子电池及镍电池广泛应用于各种消费类电子产品及新型智能产品领域。城市轨道交通业务是比亚迪未来发展的战略方向之一。凭借在新能源业务领域业已建立的技术和成本优势，集团成功研发出高效率、低成本的跨座式单轨——“云轨”产品，配合新能源汽车实现对城市公共交通的立体化覆盖，在帮助城市解决交通拥堵和空气污染的同时，实现集团的长远及可持续发展。二、主要资产重大变化情况1、主要资产重大变化情况主要资产重大变化说明股权资产主要是投资对象的股票公允价值上升，及对联营、合营公司的投资额增加所致固定资产主要是本期购置增加及在建转固增加所致无形资产主要是工业产权及专有技术增加所致在建工程主要是汽车业务投入增加所致2、主要境外资产情况√适用□不适用资产的具体内容形成原因资产规模所在地运营模式保障资产安全性的控制措施收益状况境外资产占公司净资产的比重是否存在重大减值风险汽车业务相关资产汽车产业在美国地区的开拓及发展人民币2,848,460,000元美国生产与销售财务监督，委托外部审计正常4.55%否",CNInfo annual report downloaded locally,constructed_entity_edge_from_downloaded_cninfo_report
CMIN-CN:002594.SZ,比亚迪,stock,CMIN-CN:603486.SH,科沃斯,stock,002594.SZ,603486.SH,supplies_to,customer,,,2020,annual,2021-03-29,2021-03-29,2022-03-28,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/002594_2020_annual_2021-03-29.pdf,10,"主要客户包括华为、三星、苹果、小米、vivo等智能移动终端领导厂商。比亚迪为全球领先的二次充电电池制造商之一，主要客户包括三星、Dell等消费类电子产品领导厂商，以及科沃斯、iRobot等全球领先的机器人专业智造品牌厂商。本集团生产的锂离子电池广泛应用于各种消费类电子产品及新型智能产品领域。城市轨道交通业务是比亚迪未来发展的战略方向之一。凭借在新能源业务领域业已建立的技术和成本优势，集团成功研发出高效率、低成本的跨座式单轨——“云轨”产品，配合新能源汽车实现对城市公共交通的立体化覆盖，在帮助城市解决交通拥堵和空气污染的同时，实现集团的长远及可持续发展。二、主要资产重大变化情况1、主要资产重大变化情况主要资产重大变化说明股权资产主要是对联合营公司的投资额增加所致固定资产主要是本期购置增加及在建转固增加所致无形资产基本持平在建工程主要是在建工程转固定资产影响所致2、主要境外资产情况√适用□不适用资产的具体内容形成原因资产规模所在地运营模式保障资产安全性的控制措施收益状况境外资产占公司净资产的比重是否存在重大减值风险汽车业务相关资产汽车产业在美国地区的开拓及发展人民币3,653,267,000元美国生产与销售财务监督，委托外部审计正常5.67%否",CNInfo annual report downloaded locally,constructed_entity_edge_from_downloaded_cninfo_report
CMIN-CN:002594.SZ,比亚迪,stock,CMIN-CN:603486.SH,科沃斯,stock,002594.SZ,603486.SH,supplies_to,customer,,,2021,annual,2022-03-29,2022-03-29,2022-03-29,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/002594_2021_annual_2022-03-29.pdf,14,主要客户包括华为、三星、苹果、小米、iRobot、vivo等智能移动终端领导厂商。比亚迪为全球领先的二次充电电池制造商之一。消费类电池领域，本集团生产的锂离子电池广泛应用于各种消费类电子产品及新型智能产品领域，主要客户包括三星、Dell等消费类电子产品领导厂商，以及科沃斯等全球领先的机器人专业智造品牌厂商。动力电池领域，本集团开发了高度安全的磷酸铁锂电池—“刀片电池”，更好解决市场安全痛点，加速磷酸铁锂电池重回动力电池主流赛道。城市轨道交通业务是比亚迪未来发展的战略方向之一。凭借在新能源业务领域业已建立的技术和成本优势，集团成功研发出高效率、低成本的中运量“云轨”和低运量“云巴”产品，配合新能源汽车实现对城市公共交通的立体化覆盖，在帮助城市解决交通拥堵和空气污染的同时，实现集团的长远及可持续发展。报告期内整车制造生产经营情况√适用□不适用,CNInfo annual report downloaded locally,constructed_entity_edge_from_downloaded_cninfo_report
CMIN-CN:002812.SZ,恩捷股份,stock,CMIN-CN:300750.SZ,宁德时代,stock,002812.SZ,300750.SZ,supplies_to,customer,,,2018,annual,2019-04-25,2019-04-25,2020-03-15,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/002812_2018_annual_2019-04-25.pdf,16,主要客户为国内外大型的锂电池生产企业、卷烟生产企业、食品饮料生产企业、塑料包装企业、印刷企业等。公司湿法锂离子隔膜产品的主要客户包括松下、LGChem.Ltd.、三星SDI、CATL（宁德时代新能源科技股份有限公司）、国轩高科股份有限公司、深圳市比亚迪锂电池有限公司、孚能科技、天津力神电池股份有限公司及其他超过20家的国内锂电池企业。公司是云南省非专卖的卷烟材料A级供应商，烟标产品主要客户为国内大型的卷烟生产企业，包括云南中烟物资（集团）有限责任公司、四川中烟工业有限责任公司和重庆中烟工业有限责任公司，产品广泛应用于“玉溪”、“红塔山”、“云烟”、“红河”、“雪域”、“红金龙”、“紫云”、“Marble”、“龙凤呈祥”等国内知名的卷烟品牌。公司烟膜产品的主要客户包括云南中烟物资（集团）有限责任公司、四川中烟工业有限责任公司、重庆中烟工业有限责任公司、安徽中烟工业有限责任公司、湖北中烟工业有限责任公司、贵州中烟工业有限责任公司、黑龙江烟草、吉林烟草、甘肃中烟工业有限责任公司等集团下属多家国内知名的卷烟厂。公司无菌包装产品的主要客户包括内蒙古伊利实业集团股份有限公司、内蒙古蒙牛乳业（集团）股份有限公司、中国汇源果汁集团有限公司、北京三元食品股份有限公司、皇氏集团华南乳品有限公司、贵州好一多乳业股份有限公司、广州市东鹏食品饮料有限公司、厦门惠尔康食品有限公司、达利集团、黑龙江完达山阳光乳业有限公司、云南欧亚乳业有限公司、云南皇氏来思尔乳业有限公司等国内知名企业，以及全球乳制品企业TOP10之一的荷兰乳制品企业FRIESLANDCAMPINANEDERLANDB.V.（荷兰皇家菲仕兰公司）。2、经营模式公司不同的产品采取不同的经营模式，其中是湿法锂离子隔膜、烟标、无菌包装、特种纸制品和烟膜均按照客户要求进行定制化生产，平膜一般采取以销定产，并配备适当的库存量。（1）采购模式：公司供应部通过对供应商的评价、选择，建立了《合格供方名单》（或《合格供应商/材料清单》）。采购清单所列物资只能在《合格供方名单》之内实施采购，每一种物资的采购都要有2个以上供应商进行选择。公司对供应商每年进行一次全面评价，并及时更新《合格供方名单》（或《合格供应商/材料清单》）。（2）生产模式：公司主要采取订单生产和集中排产相结合的方式生产，从而合理控制生产成本，提高效率。生产计划部根据订单和销售计划制定生产计划，进行统一生产调度、组织管理和质量控制，确保按时按质按量完成生产任务。（3）销售模式：公司湿法锂电池隔膜产品采取直销的销售模式，由营销部门销售人员负责产品的销售、推广和订单获取工作；烟标和烟膜产品主要基于烟标印刷行业的下游卷烟企业依据《烟用物资采购管理规定》实行的全国性招标采购，公司通过参与各卷烟企业招投标获取订单，并按照客户的订单组织生产和销售，为客户提供定制产品；平膜一般采取以销定产，并配备适当的库存量；无菌包装、特种纸制品均按照客户要求进行定制化生产。3、行业情况及公司所处的行业地位公司是湿法隔膜行业具有全球竞争力的领先企业，并且在烟标、BOPP膜、无菌包装及特种纸等细分行业中拥有较为丰富产品的公司,CNInfo annual report downloaded locally,constructed_entity_edge_from_downloaded_cninfo_report
