src_ticker,dst_ticker,src_canonical_stock_id,dst_canonical_stock_id,relation_type,counterparty_type_source,amount,ratio,report_period,report_type,announcement_date,valid_from,valid_to,edge_weight,weight_status,source_file,page_number,evidence_text,source,record_status
002594.SZ,603486.SH,CMIN-CN:002594.SZ,CMIN-CN:603486.SH,supplies_to,customer,,,2018,annual,2019-03-27,2019-03-27,2020-04-20,1.0,binary_due_to_missing_ratio,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/002594_2018_annual_2019-03-27.pdf,10,主要客户包括三星、华为、苹果、小米、vivo、联想等智能移动终端领导厂商。比亚迪为全球领先的二次充电电池制造商之一，主要客户包括三星、Dell等消费类电子产品领导厂商，以及科沃斯、iRobot等全球领先的机器人专业智造品牌厂商。本集团生产的锂离子电池及镍电池广泛应用于各种消费类电子产品及新型智能产品领域。城市轨道交通业务是比亚迪未来发展的战略方向之一。凭借在新能源业务领域业已建立的技术和成本优势，集团成功研发出高效率、低成本的跨座式单轨——“云轨”产品，配合新能源汽车实现对城市公共交通的立体化覆盖，在帮助城市解决交通拥堵和空气污染的同时，实现集团的长远及可持续发展。二、主要资产重大变化情况1、主要资产重大变化情况主要资产重大变化说明股权资产主要是投资对象的股票公允价值下降，同时对联营、合营公司的投资额增加影响固定资产基本持平无形资产主要是专利权与土地使用权增加所致在建工程主要是电池业务和汽车业务投入增加所致应收票据及应收账款主要是本期执行新的金融工具准则将部分应收账款计入合同资产，以及将既以收取合同现金流量为目标又以出售为目标的的应收票据及应收账款计入其他流动资产所致合同资产主要是本期执行新的金融工具准则将部分应收账款计入合同资产所致存货主要是汽车业务需求增加所致2、主要境外资产情况√适用□不适用,CNInfo annual report downloaded locally,constructed_from_downloaded_cninfo_report
601881.SH,601066.SH,CMIN-CN:601881.SH,CMIN-CN:601066.SH,supplies_to,customer,,,2018,annual,2019-03-27,2019-03-27,2020-03-26,1.0,binary_due_to_missing_ratio,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/601881_2018_annual_2019-03-27.pdf,261,"前五名客户的手续费及佣金收入情况占本集团手续费及佣金收入客户名称2018年度总额的比例人民币元%银河水星1号集合资产管理计划524,487,236.3210.38中信建投证券股份有限公司131,633,962.252.61兴业证券股份有限公司57,075,471.691.13芜湖伯特利汽车安全系统股份有限公司36,226,415.090.72柳州市投资控股有限公司35,806,649.060.71___________________合计785,229,734.4115.55______________________________________45.利息净收入2018年度2017年度人民币元人民币元利息收入存放金融同业利息收入1,881,294,417.311,989,758,858.58其中：自有资金存款利息收入411,789,771.39338,181,409.26客户资金存款利息收入1,469,504,645.921,651,577,449.32融资融券利息收入4,001,963,940.834,196,795,021.03买入返售金融资产利息收入2,420,124,965.381,157,465,399.85其中：约定购回利息收入9,332,974.75989,667.69股票质押回购利息收入2,335,067,367.34983,668,670.06债权投资利息收入337,565,703.14-其他债权投资利息收入839,629,799.65-______________________________小计9,480,578,826.317,344,019,279.46____________________________________________________________利息支出代理买卖证券款利息支出(204,335,122.50)(228,654,827.32)卖出回购金融资产利息支出(1,029,502,062.45)(762,870,414.58)其中：报价回购利息支出(325,888,974.39)(333,664,163.67)短期借款利息支出(76,196,867.20)(41,630,703.11)拆入资金利息支出(77,107,706.22)(29,439,135.87)其中：转融通利息支出(3,433,729.85)(10,582,410.89)应付短期融资款利息支出(865,827,977.53)(630,638,007.27)应付债券利息支出(3,617,511,214.11)(2,514,771,305.72)合并结构化主体利息支出(165,409,102.65)(149,608,416.15)______________________________小计(6,035,890,052.66)(4,357,612,810.02)______________________________利息净收入3,444,688,773.652,986,406,469.44____________________________________________________________",CNInfo annual report downloaded locally,constructed_from_downloaded_cninfo_report
601881.SH,601066.SH,CMIN-CN:601881.SH,CMIN-CN:601066.SH,supplies_to,customer,,,2018,annual,2019-03-27,2019-03-27,2020-03-26,1.0,binary_due_to_missing_ratio,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/601881_2018_annual_2019-03-27.pdf,331,"前五名客户的手续费及佣金收入情况占本公司手续费及佣金客户名称2018年度收入的比例人民币元%银河金汇证券资产管理有限公司561,190,083.9212.92中信建投证券股份有限公司131,633,962.253.03兴业证券股份有限公司57,075,471.691.31芜湖伯特利汽车安全系统股份有限公司36,226,415.090.83柳州市投资控股有限公司35,806,649.060.82___________________合计821,932,582.0118.91______________________________________10.利息净收入2018年度2017年度人民币元人民币元利息收入存放金融同业利息收入1,288,420,356.791,445,325,832.14其中：自有资金存款利息收入234,762,783.76870,289.05客户资金存款利息收入1,053,657,573.031,444,455,543.09融资融券利息收入3,813,636,650.044,015,814,962.60买入返售金融资产利息收入2,405,336,374.441,145,174,291.40其中：约定购回利息收入9,332,974.75989,667.69股票质押回购利息收入2,335,067,367.34983,668,670.06其他债权投资投资利息收入839,629,799.65-______________________________小计8,347,023,180.926,606,315,086.14____________________________________________________________",CNInfo annual report downloaded locally,constructed_from_downloaded_cninfo_report
601881.SH,601377.SH,CMIN-CN:601881.SH,CMIN-CN:601377.SH,supplies_to,customer,,,2018,annual,2019-03-27,2019-03-27,2020-03-26,1.0,binary_due_to_missing_ratio,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/601881_2018_annual_2019-03-27.pdf,261,"前五名客户的手续费及佣金收入情况占本集团手续费及佣金收入客户名称2018年度总额的比例人民币元%银河水星1号集合资产管理计划524,487,236.3210.38中信建投证券股份有限公司131,633,962.252.61兴业证券股份有限公司57,075,471.691.13芜湖伯特利汽车安全系统股份有限公司36,226,415.090.72柳州市投资控股有限公司35,806,649.060.71___________________合计785,229,734.4115.55______________________________________45.利息净收入2018年度2017年度人民币元人民币元利息收入存放金融同业利息收入1,881,294,417.311,989,758,858.58其中：自有资金存款利息收入411,789,771.39338,181,409.26客户资金存款利息收入1,469,504,645.921,651,577,449.32融资融券利息收入4,001,963,940.834,196,795,021.03买入返售金融资产利息收入2,420,124,965.381,157,465,399.85其中：约定购回利息收入9,332,974.75989,667.69股票质押回购利息收入2,335,067,367.34983,668,670.06债权投资利息收入337,565,703.14-其他债权投资利息收入839,629,799.65-______________________________小计9,480,578,826.317,344,019,279.46____________________________________________________________利息支出代理买卖证券款利息支出(204,335,122.50)(228,654,827.32)卖出回购金融资产利息支出(1,029,502,062.45)(762,870,414.58)其中：报价回购利息支出(325,888,974.39)(333,664,163.67)短期借款利息支出(76,196,867.20)(41,630,703.11)拆入资金利息支出(77,107,706.22)(29,439,135.87)其中：转融通利息支出(3,433,729.85)(10,582,410.89)应付短期融资款利息支出(865,827,977.53)(630,638,007.27)应付债券利息支出(3,617,511,214.11)(2,514,771,305.72)合并结构化主体利息支出(165,409,102.65)(149,608,416.15)______________________________小计(6,035,890,052.66)(4,357,612,810.02)______________________________利息净收入3,444,688,773.652,986,406,469.44____________________________________________________________",CNInfo annual report downloaded locally,constructed_from_downloaded_cninfo_report
601881.SH,601377.SH,CMIN-CN:601881.SH,CMIN-CN:601377.SH,supplies_to,customer,,,2018,annual,2019-03-27,2019-03-27,2020-03-26,1.0,binary_due_to_missing_ratio,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/601881_2018_annual_2019-03-27.pdf,331,"前五名客户的手续费及佣金收入情况占本公司手续费及佣金客户名称2018年度收入的比例人民币元%银河金汇证券资产管理有限公司561,190,083.9212.92中信建投证券股份有限公司131,633,962.253.03兴业证券股份有限公司57,075,471.691.31芜湖伯特利汽车安全系统股份有限公司36,226,415.090.83柳州市投资控股有限公司35,806,649.060.82___________________合计821,932,582.0118.91______________________________________10.利息净收入2018年度2017年度人民币元人民币元利息收入存放金融同业利息收入1,288,420,356.791,445,325,832.14其中：自有资金存款利息收入234,762,783.76870,289.05客户资金存款利息收入1,053,657,573.031,444,455,543.09融资融券利息收入3,813,636,650.044,015,814,962.60买入返售金融资产利息收入2,405,336,374.441,145,174,291.40其中：约定购回利息收入9,332,974.75989,667.69股票质押回购利息收入2,335,067,367.34983,668,670.06其他债权投资投资利息收入839,629,799.65-______________________________小计8,347,023,180.926,606,315,086.14____________________________________________________________",CNInfo annual report downloaded locally,constructed_from_downloaded_cninfo_report
002812.SZ,300750.SZ,CMIN-CN:002812.SZ,CMIN-CN:300750.SZ,supplies_to,customer,,,2018,annual,2019-04-25,2019-04-25,2020-03-15,1.0,binary_due_to_missing_ratio,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/002812_2018_annual_2019-04-25.pdf,16,主要客户为国内外大型的锂电池生产企业、卷烟生产企业、食品饮料生产企业、塑料包装企业、印刷企业等。公司湿法锂离子隔膜产品的主要客户包括松下、LGChem.Ltd.、三星SDI、CATL（宁德时代新能源科技股份有限公司）、国轩高科股份有限公司、深圳市比亚迪锂电池有限公司、孚能科技、天津力神电池股份有限公司及其他超过20家的国内锂电池企业。公司是云南省非专卖的卷烟材料A级供应商，烟标产品主要客户为国内大型的卷烟生产企业，包括云南中烟物资（集团）有限责任公司、四川中烟工业有限责任公司和重庆中烟工业有限责任公司，产品广泛应用于“玉溪”、“红塔山”、“云烟”、“红河”、“雪域”、“红金龙”、“紫云”、“Marble”、“龙凤呈祥”等国内知名的卷烟品牌。公司烟膜产品的主要客户包括云南中烟物资（集团）有限责任公司、四川中烟工业有限责任公司、重庆中烟工业有限责任公司、安徽中烟工业有限责任公司、湖北中烟工业有限责任公司、贵州中烟工业有限责任公司、黑龙江烟草、吉林烟草、甘肃中烟工业有限责任公司等集团下属多家国内知名的卷烟厂。公司无菌包装产品的主要客户包括内蒙古伊利实业集团股份有限公司、内蒙古蒙牛乳业（集团）股份有限公司、中国汇源果汁集团有限公司、北京三元食品股份有限公司、皇氏集团华南乳品有限公司、贵州好一多乳业股份有限公司、广州市东鹏食品饮料有限公司、厦门惠尔康食品有限公司、达利集团、黑龙江完达山阳光乳业有限公司、云南欧亚乳业有限公司、云南皇氏来思尔乳业有限公司等国内知名企业，以及全球乳制品企业TOP10之一的荷兰乳制品企业FRIESLANDCAMPINANEDERLANDB.V.（荷兰皇家菲仕兰公司）。2、经营模式公司不同的产品采取不同的经营模式，其中是湿法锂离子隔膜、烟标、无菌包装、特种纸制品和烟膜均按照客户要求进行定制化生产，平膜一般采取以销定产，并配备适当的库存量。（1）采购模式：公司供应部通过对供应商的评价、选择，建立了《合格供方名单》（或《合格供应商/材料清单》）。采购清单所列物资只能在《合格供方名单》之内实施采购，每一种物资的采购都要有2个以上供应商进行选择。公司对供应商每年进行一次全面评价，并及时更新《合格供方名单》（或《合格供应商/材料清单》）。（2）生产模式：公司主要采取订单生产和集中排产相结合的方式生产，从而合理控制生产成本，提高效率。生产计划部根据订单和销售计划制定生产计划，进行统一生产调度、组织管理和质量控制，确保按时按质按量完成生产任务。（3）销售模式：公司湿法锂电池隔膜产品采取直销的销售模式，由营销部门销售人员负责产品的销售、推广和订单获取工作；烟标和烟膜产品主要基于烟标印刷行业的下游卷烟企业依据《烟用物资采购管理规定》实行的全国性招标采购，公司通过参与各卷烟企业招投标获取订单，并按照客户的订单组织生产和销售，为客户提供定制产品；平膜一般采取以销定产，并配备适当的库存量；无菌包装、特种纸制品均按照客户要求进行定制化生产。3、行业情况及公司所处的行业地位公司是湿法隔膜行业具有全球竞争力的领先企业，并且在烟标、BOPP膜、无菌包装及特种纸等细分行业中拥有较为丰富产品的公司,CNInfo annual report downloaded locally,constructed_from_downloaded_cninfo_report
000066.SZ,601398.SH,CMIN-CN:000066.SZ,CMIN-CN:601398.SH,supplies_to,customer,234593100.00,0.0234,2018,annual,2019-04-29,2019-04-29,2020-04-28,0.0234,disclosed_ratio,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/000066_2018_annual_2019-04-29.pdf,16,"前五名客户合计销售金额（元）1,536,201,349.93前五名客户合计销售金额占年度销售总额比例15.35%前五名客户销售额中关联方销售额占年度销售总额比例2.96%公司前5大客户资料序号客户名称销售额（元）占年度销售总额比例1PHILIPSELECTRONICSSINGAPOREPTELTD.466,059,783.214.66%2桂林长海科技有限责任公司295,804,183.722.96%3客户A290,305,400.002.90%4Procter&GambleInternationalOperationsSA249,438,883.002.49%5中国工商银行股份有限公司234,593,100.002.34%合计--1,536,201,349.9315.35%主要客户其他情况说明√适用□不适用前五名客户中桂林长海科技有限责任公司为本公司持股41.525%的参股企业，同时也为本公司实际控制人的控股公司；除此外，本公司与其他四名客户不存在关联关系；本公司董事、监事、高级管理人员等在主要客户中未直接或者间接拥有权益。公司",CNInfo annual report downloaded locally,constructed_from_downloaded_cninfo_report
002812.SZ,002594.SZ,CMIN-CN:002812.SZ,CMIN-CN:002594.SZ,supplies_to,customer,,,2019,annual,2020-03-16,2020-03-16,2021-03-16,1.0,binary_due_to_missing_ratio,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/002812_2019_annual_2020-03-16.pdf,14,主要客户为国内外大型的锂电池生产企业、卷烟生产企业、食品饮料生产企业、塑料包装企业、印刷企业等。公司湿法锂离子隔膜产品的主要客户包括松下、LGChem.Ltd.、三星SDI、宁德时代、国轩、比亚迪、孚能、力神及其他超过20家的国内锂电池企业。公司是云南省非专卖的卷烟材料A级供应商，烟标产品主要客户为国内大型的卷烟生产企业，包括云南中烟物资（集团）有限责任公司和重庆中烟工业有限责任公司等，产品广泛应用于“玉溪”、“红塔山”、“云烟”、“红河”、“雪域”、“紫云”、“Marble”、“龙凤呈祥”等国内知名的卷烟品牌。公司烟膜产品的主要客户包括云南中烟物资（集团）有限责任公司、四川中烟工业有限责任公司、重庆中烟工业有限责任公司、湖南中烟工业有限责任公司、安徽中烟工业有限责任公司、湖北中烟工业有限责任公司、贵州中烟工业有限责任公司、黑龙江烟草、吉林烟草、甘肃中烟工业有限责任公司等集团下属多家国内知名的卷烟厂。公司无菌包装产品的主要客户包括内蒙古伊利实业集团股份有限公司、内蒙古蒙牛乳业（集团）股份有限公司、北京三元食品股份有限公司、皇氏集团华南乳品有限公司、贵州好一多乳业股份有限公司、广州市东鹏食品饮料有限公司、厦门惠尔康食品有限公司、达利集团、黑龙江完达山阳光乳业有限公司、云南欧亚乳业有限公司、云南皇氏来思尔乳业有限公司等国内知名企业，以及全球乳制品企业TOP10之一的荷兰乳制品企业RIESLANDCAMPINANEDERLANDB.V.（荷兰皇家菲仕兰公司）。2、经营模式公司不同的产品采取不同的经营模式，其中是湿法锂离子隔膜、烟标、无菌包装、特种纸制品和烟膜均按照客户要求进行定制化生产，平膜一般采取以销定产，并配备适当的库存量。（1）采购模式：公司供应部通过对供应商的评价、选择，建立了《合格供方名单》（或《合格供应商/材料清单》）。采购清单所列物资只能在《合格供方名单》之内实施采购，每一种物资的采购都要有2个以上供应商进行选择。公司对供应商每年进行一次全面评价，并及时更新《合格供方名单》（或《合格供应商/材料清单》）。（2）生产模式：公司主要采取订单生产和集中排产相结合的方式生产，从而合理控制生产成本，提高效率。生产计划部根据订单和销售计划制定生产计划，进行统一生产调度、组织管理和质量控制，确保按时按质按量完成生产任务。（3）销售模式：公司湿法锂电池隔膜产品采取直销的销售模式，由营销部门销售人员负责产品的销售、推广和订单获取工作；烟标和烟膜产品主要基于烟标印刷行业的下游卷烟企业依据《烟用物资采购管理规定》实行的全国性招标采购，公司通过参与各卷烟企业招投标获取订单，并按照客户的订单组织生产和销售，为客户提供定制产品；平膜一般采取以销定产，并配备适当的库存量；无菌包装、特种纸制品均按照客户要求进行定制化生产。3、行业情况及公司所处的行业地位公司是全球领先的锂电池隔膜行业龙头，具有全球竞争力，并且在烟标、BOPP膜、无菌包装及特种纸等细分行业中拥有较为丰富产品的公司。（1）膜类产品公司膜类产品分为两个大类：一是锂电池隔离膜，二是BOPP薄膜。锂电池隔膜是锂电池的主要原材料之一，锂电池市场规模决定了隔膜市场规模，隔膜市场规模跟随锂电池市场增长而增长，与锂电池市场增长有一致性。锂电池应用广泛，有多个应用市场和多种应用场景，包括消费电子，动力电池，以及储能三个主要市场，还有一些细分市场如电动工具等。从全,CNInfo annual report downloaded locally,constructed_from_downloaded_cninfo_report
002812.SZ,300750.SZ,CMIN-CN:002812.SZ,CMIN-CN:300750.SZ,supplies_to,customer,,,2019,annual,2020-03-16,2020-03-16,2021-03-16,1.0,binary_due_to_missing_ratio,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/002812_2019_annual_2020-03-16.pdf,14,主要客户为国内外大型的锂电池生产企业、卷烟生产企业、食品饮料生产企业、塑料包装企业、印刷企业等。公司湿法锂离子隔膜产品的主要客户包括松下、LGChem.Ltd.、三星SDI、宁德时代、国轩、比亚迪、孚能、力神及其他超过20家的国内锂电池企业。公司是云南省非专卖的卷烟材料A级供应商，烟标产品主要客户为国内大型的卷烟生产企业，包括云南中烟物资（集团）有限责任公司和重庆中烟工业有限责任公司等，产品广泛应用于“玉溪”、“红塔山”、“云烟”、“红河”、“雪域”、“紫云”、“Marble”、“龙凤呈祥”等国内知名的卷烟品牌。公司烟膜产品的主要客户包括云南中烟物资（集团）有限责任公司、四川中烟工业有限责任公司、重庆中烟工业有限责任公司、湖南中烟工业有限责任公司、安徽中烟工业有限责任公司、湖北中烟工业有限责任公司、贵州中烟工业有限责任公司、黑龙江烟草、吉林烟草、甘肃中烟工业有限责任公司等集团下属多家国内知名的卷烟厂。公司无菌包装产品的主要客户包括内蒙古伊利实业集团股份有限公司、内蒙古蒙牛乳业（集团）股份有限公司、北京三元食品股份有限公司、皇氏集团华南乳品有限公司、贵州好一多乳业股份有限公司、广州市东鹏食品饮料有限公司、厦门惠尔康食品有限公司、达利集团、黑龙江完达山阳光乳业有限公司、云南欧亚乳业有限公司、云南皇氏来思尔乳业有限公司等国内知名企业，以及全球乳制品企业TOP10之一的荷兰乳制品企业RIESLANDCAMPINANEDERLANDB.V.（荷兰皇家菲仕兰公司）。2、经营模式公司不同的产品采取不同的经营模式，其中是湿法锂离子隔膜、烟标、无菌包装、特种纸制品和烟膜均按照客户要求进行定制化生产，平膜一般采取以销定产，并配备适当的库存量。（1）采购模式：公司供应部通过对供应商的评价、选择，建立了《合格供方名单》（或《合格供应商/材料清单》）。采购清单所列物资只能在《合格供方名单》之内实施采购，每一种物资的采购都要有2个以上供应商进行选择。公司对供应商每年进行一次全面评价，并及时更新《合格供方名单》（或《合格供应商/材料清单》）。（2）生产模式：公司主要采取订单生产和集中排产相结合的方式生产，从而合理控制生产成本，提高效率。生产计划部根据订单和销售计划制定生产计划，进行统一生产调度、组织管理和质量控制，确保按时按质按量完成生产任务。（3）销售模式：公司湿法锂电池隔膜产品采取直销的销售模式，由营销部门销售人员负责产品的销售、推广和订单获取工作；烟标和烟膜产品主要基于烟标印刷行业的下游卷烟企业依据《烟用物资采购管理规定》实行的全国性招标采购，公司通过参与各卷烟企业招投标获取订单，并按照客户的订单组织生产和销售，为客户提供定制产品；平膜一般采取以销定产，并配备适当的库存量；无菌包装、特种纸制品均按照客户要求进行定制化生产。3、行业情况及公司所处的行业地位公司是全球领先的锂电池隔膜行业龙头，具有全球竞争力，并且在烟标、BOPP膜、无菌包装及特种纸等细分行业中拥有较为丰富产品的公司。（1）膜类产品公司膜类产品分为两个大类：一是锂电池隔离膜，二是BOPP薄膜。锂电池隔膜是锂电池的主要原材料之一，锂电池市场规模决定了隔膜市场规模，隔膜市场规模跟随锂电池市场增长而增长，与锂电池市场增长有一致性。锂电池应用广泛，有多个应用市场和多种应用场景，包括消费电子，动力电池，以及储能三个主要市场，还有一些细分市场如电动工具等。从全,CNInfo annual report downloaded locally,constructed_from_downloaded_cninfo_report
603659.SH,002594.SZ,CMIN-CN:603659.SH,CMIN-CN:002594.SZ,supplies_to,customer,,,2019,annual,2020-03-26,2020-03-26,2021-03-14,1.0,binary_due_to_missing_ratio,F:/Codex/GNN_data/data/tasks/csi300_cn_supply_chain_cninfo_2018_2021/data_raw/cn_supply_chain_cninfo/pdf/603659_2019_annual_2020-03-26.pdf,11,主要客户包括ATL、宁德时代、LG化学、三星SDI、中航锂电、珠海冠宇、欣旺达、比亚迪、天津力神等国内外高端知名锂电制造商。3、行业情况说明公司产品主要为锂离子电池材料和自动化工艺设备，运用在锂离子电池的生产制造过程中，锂离子电池根据应用场景可分为消费、动力和储能三类：（1）消费类电池消费类电池主要应用于智能手机、移动电源、电动工具等传统领域和电子烟、ETC、无人机、VR、可穿戴设备等新兴领域。近年来，全球智能手机、笔记本电脑等传统领域出货量趋于稳定，受益国内政策因素影响ETC用锂电池市场迅猛发展，电子烟作为一种新兴的销售品其市场需求和流行趋势逐渐显露，与此同时，随着智能仓储在快递、酒店、电商、医疗等领域的应用持续加快，国内移动机器人（AGV）锂电池需求持续释放。整体而言，消费类电池的传统业务相对稳定，新兴市场持续活跃，锂电池应用场景的不断丰富，新兴消费类电池市场将呈现蓬勃发展的态势；2019年，全球消费锂电池测算需求达到60GWh，根据东北证券预测，2020年-2021年全球消费锂电池需求将分别达到65GWh和70GWh1，全球消费锂电池市场将重归稳步增长。（2）动力类电池动力类电池主要应用于新能源汽车领域。受国内汽车整体产销量持续下滑及政策1东北证券：《优质的赛道，优选的方向》，2020年2月29日,CNInfo annual report downloaded locally,constructed_from_downloaded_cninfo_report
