date,src_institution_id,src_institution_name,dst_ticker,dst_canonical_stock_id,relation_type,holding_ratio,float_holding_ratio,edge_weight,quarter,report_period_end,effective_date,source,record_status
2018-04-30,SINA:70304145,中国平安人寿保险股份有限公司－自有资金,000001.SZ,CMIN-CN:000001.SZ,institution_holds_stock,6.11,6.2,6.11,20181,2018-03-31,2018-04-20,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:76126900,中国平安保险(集团)股份有限公司－集团本级－自有资金,000001.SZ,CMIN-CN:000001.SZ,institution_holds_stock,48.1,48.81,48.1,20181,2018-03-31,2018-04-20,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010104,全国社保基金一零四组合,000063.SZ,CMIN-CN:000063.SZ,institution_holds_stock,1.03,1.26,1.03,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010401,全国社保基金四零一组合,000063.SZ,CMIN-CN:000063.SZ,institution_holds_stock,0.62,0.76,0.62,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:510500,南方中证500ETF,000066.SZ,CMIN-CN:000066.SZ,institution_holds_stock,0.32,0.37,0.32,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:001683,华夏新经济混合,000069.SZ,CMIN-CN:000069.SZ,institution_holds_stock,0.71,0.94,0.71,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010101,全国社保基金一零一组合,000069.SZ,CMIN-CN:000069.SZ,institution_holds_stock,0.65,0.86,0.65,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010103,全国社保基金一零三组合,000069.SZ,CMIN-CN:000069.SZ,institution_holds_stock,0.85,1.14,0.85,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010104,全国社保基金一零四组合,000069.SZ,CMIN-CN:000069.SZ,institution_holds_stock,1.52,2.03,1.52,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010110,全国社保基金一一零组合,000069.SZ,CMIN-CN:000069.SZ,institution_holds_stock,0.59,0.78,0.59,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010403,全国社保基金四零三组合,000069.SZ,CMIN-CN:000069.SZ,institution_holds_stock,1.2,1.6,1.2,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70303107,高瓴资本管理有限公司－HCM中国基金,000333.SZ,CMIN-CN:000333.SZ,institution_holds_stock,1.64,1.66,1.64,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:80044863,UBS AG(瑞银集团),000333.SZ,CMIN-CN:000333.SZ,institution_holds_stock,0.98,0.99,0.98,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010116,全国社保基金一一六组合,000338.SZ,CMIN-CN:000338.SZ,institution_holds_stock,0.65,1.18,0.65,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:005481,银华瑞泰灵活配置混合,000425.SZ,CMIN-CN:000425.SZ,institution_holds_stock,0.57,0.57,0.57,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:163402,兴全趋势投资混合(LOF),000425.SZ,CMIN-CN:000425.SZ,institution_holds_stock,0.57,0.57,0.57,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:180012,银华富裕主题混合A,000425.SZ,CMIN-CN:000425.SZ,institution_holds_stock,1.22,1.22,1.22,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010412,全国社保基金四一二组合,000425.SZ,CMIN-CN:000425.SZ,institution_holds_stock,0.58,0.58,0.58,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010108,全国社保基金一零八组合,000538.SZ,CMIN-CN:000538.SZ,institution_holds_stock,1.24,1.24,1.24,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70304145,中国平安人寿保险股份有限公司－自有资金,000538.SZ,CMIN-CN:000538.SZ,institution_holds_stock,9.36,9.36,9.36,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70304217,香港金融管理局－自有资金,000538.SZ,CMIN-CN:000538.SZ,institution_holds_stock,0.51,0.51,0.51,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:001373,易方达新丝路混合,000568.SZ,CMIN-CN:000568.SZ,institution_holds_stock,0.58,0.61,0.58,20181,2018-03-31,2018-04-26,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:110022,易方达消费行业股票,000568.SZ,CMIN-CN:000568.SZ,institution_holds_stock,1.59,1.66,1.59,20181,2018-03-31,2018-04-26,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:161725,招商中证白酒指数A,000568.SZ,CMIN-CN:000568.SZ,institution_holds_stock,0.99,1.04,0.99,20181,2018-03-31,2018-04-26,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:110022,易方达消费行业股票,000596.SZ,CMIN-CN:000596.SZ,institution_holds_stock,1.65,2.17,1.65,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:180012,银华富裕主题混合A,000596.SZ,CMIN-CN:000596.SZ,institution_holds_stock,1.38,1.81,1.38,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010101,全国社保基金一零一组合,000651.SZ,CMIN-CN:000651.SZ,institution_holds_stock,0.79,0.79,0.79,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010108,全国社保基金一零八组合,000651.SZ,CMIN-CN:000651.SZ,institution_holds_stock,0.81,0.81,0.81,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70303107,高瓴资本管理有限公司－HCM中国基金,000651.SZ,CMIN-CN:000651.SZ,institution_holds_stock,0.84,0.84,0.84,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
