date,canonical_stock_id,ticker,stock_code,stock_name,exchange,classification_standard,classification_version,industry_category,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_code,change_date,source,record_status
2018-01-31,CMIN-CN:000100.SZ,000100.SZ,000100,TCL科技,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:000800.SZ,000800.SZ,000800,一汽解放,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:600309.SH,600309.SH,600309,万华化学,SH,申银万国行业分类标准,SW2014,基础化工,基础化工,化学制品,聚氨酯,聚氨酯,S220313,2011-10-10,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2018-01-31,CMIN-CN:603392.SH,603392.SH,603392,万泰生物,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:000002.SZ,000002.SZ,000002,万科A,SZ,申银万国行业分类标准,SW2014,房地产,房地产,房地产开发,住宅开发,住宅开发,S430101,1991-01-29,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2018-01-31,CMIN-CN:600031.SH,600031.SH,600031,三一重工,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:002555.SZ,002555.SZ,002555,三七互娱,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:601360.SH,601360.SH,601360,三六零,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:600905.SH,600905.SH,600905,三峡能源,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:300408.SZ,300408.SZ,300408,三环集团,SZ,申银万国行业分类标准,SW2014,电子,电子,元件,被动元件,被动元件,S270203,2014-01-25,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2018-01-31,CMIN-CN:002050.SZ,002050.SZ,002050,三花智控,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:600104.SH,600104.SH,600104,上汽集团,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:600848.SH,600848.SH,600848,上海临港,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:601607.SH,601607.SH,601607,上海医药,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:600009.SH,600009.SH,600009,上海机场,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:002252.SZ,002252.SZ,002252,上海莱士,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:601229.SH,601229.SH,601229,上海银行,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:600018.SH,600018.SH,600018,上港集团,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:002602.SZ,002602.SZ,002602,世纪华通,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:000301.SZ,000301.SZ,000301,东方盛虹,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:600958.SH,600958.SH,600958,东方证券,SH,申银万国行业分类标准,SW2014,非银金融,非银金融,证券Ⅱ,证券Ⅲ,证券Ⅲ,S490101,2015-01-18,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2018-01-31,CMIN-CN:300059.SZ,300059.SZ,300059,东方财富,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:002271.SZ,002271.SZ,002271,东方雨虹,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:605499.SH,605499.SH,605499,东鹏饮料,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:601066.SH,601066.SH,601066,中信建投,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:000708.SZ,000708.SZ,000708,中信特钢,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:600030.SH,600030.SH,600030,中信证券,SH,申银万国行业分类标准,SW2014,非银金融,非银金融,证券Ⅱ,证券Ⅲ,证券Ⅲ,S490101,2008-06-02,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2018-01-31,CMIN-CN:601998.SH,601998.SH,601998,中信银行,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:002607.SZ,002607.SZ,002607,中公教育,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:000063.SZ,000063.SZ,000063,中兴通讯,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:600115.SH,600115.SH,600115,中国东航,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:601888.SH,601888.SH,601888,中国中免,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:601618.SH,601618.SH,601618,中国中冶,SH,申银万国行业分类标准,SW2014,建筑装饰,建筑装饰,专业工程,其他专业工程,其他专业工程,S620404,2014-01-01,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2018-01-31,CMIN-CN:601766.SH,601766.SH,601766,中国中车,SH,申银万国行业分类标准,SW2014,机械设备,机械设备,轨交设备Ⅱ,轨交设备Ⅲ,轨交设备Ⅲ,S640501,2014-01-01,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2018-01-31,CMIN-CN:601390.SH,601390.SH,601390,中国中铁,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:601800.SH,601800.SH,601800,中国交建,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:601319.SH,601319.SH,601319,中国人保,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:601628.SH,601628.SH,601628,中国人寿,SH,申银万国行业分类标准,SW2014,非银金融,非银金融,保险Ⅱ,保险Ⅲ,保险Ⅲ,S490201,2008-06-02,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2018-01-31,CMIN-CN:601698.SH,601698.SH,601698,中国卫通,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:601111.SH,601111.SH,601111,中国国航,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:601601.SH,601601.SH,601601,中国太保,SH,申银万国行业分类标准,SW2014,非银金融,非银金融,保险Ⅱ,保险Ⅲ,保险Ⅲ,S490201,2008-06-02,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2018-01-31,CMIN-CN:600176.SH,600176.SH,600176,中国巨石,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:601318.SH,601318.SH,601318,中国平安,SH,申银万国行业分类标准,SW2014,非银金融,非银金融,保险Ⅱ,保险Ⅲ,保险Ⅲ,S490201,2008-06-02,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2018-01-31,CMIN-CN:003816.SZ,003816.SZ,003816,中国广核,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:601668.SH,601668.SH,601668,中国建筑,SH,申银万国行业分类标准,SW2014,建筑装饰,建筑装饰,房屋建设Ⅱ,房屋建设Ⅲ,房屋建设Ⅲ,S620101,2014-01-01,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2018-01-31,CMIN-CN:601985.SH,601985.SH,601985,中国核电,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:601728.SH,601728.SH,601728,中国电信,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:601669.SH,601669.SH,601669,中国电建,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:600028.SH,600028.SH,600028,中国石化,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:601857.SH,601857.SH,601857,中国石油,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:601088.SH,601088.SH,601088,中国神华,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2018-01-31,CMIN-CN:600050.SH,600050.SH,600050,中国联通,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
