date,src_ticker,dst_ticker,src_canonical_stock_id,dst_canonical_stock_id,relation_type,shared_concept_count,shared_concept_codes,shared_concept_names,edge_weight,top_k,source,snapshot_type,record_status
2018-01-31,000001.SZ,002142.SZ,CMIN-CN:000001.SZ,CMIN-CN:002142.SZ,same_cn_concept_topk_idf,1,BK0637,互联网金融,1.7686179406663607,5,Eastmoney via AKShare-compatible endpoint,static_prior_topk_idf,topk_idf_shared_concept_specificity
2018-01-31,000001.SZ,600000.SH,CMIN-CN:000001.SZ,CMIN-CN:600000.SH,same_cn_concept_topk_idf,2,BK0637;BK1071,互联网金融;跨境支付,4.984154864269047,5,Eastmoney via AKShare-compatible endpoint,static_prior_topk_idf,topk_idf_shared_concept_specificity
2018-01-31,000001.SZ,600015.SH,CMIN-CN:000001.SZ,CMIN-CN:600015.SH,same_cn_concept_topk_idf,2,BK0637;BK1071,互联网金融;跨境支付,4.984154864269047,5,Eastmoney via AKShare-compatible endpoint,static_prior_topk_idf,topk_idf_shared_concept_specificity
2018-01-31,000001.SZ,600016.SH,CMIN-CN:000001.SZ,CMIN-CN:600016.SH,same_cn_concept_topk_idf,2,BK0637;BK1071,互联网金融;跨境支付,4.984154864269047,5,Eastmoney via AKShare-compatible endpoint,static_prior_topk_idf,topk_idf_shared_concept_specificity
2018-01-31,000001.SZ,600036.SH,CMIN-CN:000001.SZ,CMIN-CN:600036.SH,same_cn_concept_topk_idf,3,BK0549;BK0637;BK1071,深圳特区;互联网金融;跨境支付,7.352393927484529,5,Eastmoney via AKShare-compatible endpoint,static_prior_topk_idf,topk_idf_shared_concept_specificity
2018-01-31,000001.SZ,600383.SH,CMIN-CN:000001.SZ,CMIN-CN:600383.SH,same_cn_concept_topk_idf,1,BK0549,深圳特区,2.3682390632154826,5,Eastmoney via AKShare-compatible endpoint,static_prior_topk_idf,topk_idf_shared_concept_specificity
2018-01-31,000001.SZ,600919.SH,CMIN-CN:000001.SZ,CMIN-CN:600919.SH,same_cn_concept_topk_idf,2,BK0637;BK0830,互联网金融;区块链,4.2501856891888465,5,Eastmoney via AKShare-compatible endpoint,static_prior_topk_idf,topk_idf_shared_concept_specificity
2018-01-31,000001.SZ,600926.SH,CMIN-CN:000001.SZ,CMIN-CN:600926.SH,same_cn_concept_topk_idf,1,BK0637,互联网金融,1.7686179406663607,5,Eastmoney via AKShare-compatible endpoint,static_prior_topk_idf,topk_idf_shared_concept_specificity
2018-01-31,000001.SZ,601166.SH,CMIN-CN:000001.SZ,CMIN-CN:601166.SH,same_cn_concept_topk_idf,2,BK0637;BK1071,互联网金融;跨境支付,4.984154864269047,5,Eastmoney via AKShare-compatible endpoint,static_prior_topk_idf,topk_idf_shared_concept_specificity
2018-01-31,000001.SZ,601288.SH,CMIN-CN:000001.SZ,CMIN-CN:601288.SH,same_cn_concept_topk_idf,2,BK0637;BK1071,互联网金融;跨境支付,4.984154864269047,5,Eastmoney via AKShare-compatible endpoint,static_prior_topk_idf,topk_idf_shared_concept_specificity
