canonical_stock_id,ticker,name,exchange,valid_from,valid_to,source,mapping_status
CMIN-US:AAPL,AAPL,Apple Inc.,Nasdaq,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:ABBV,ABBV,AbbVie Inc.,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:ABT,ABT,Abbott Laboratories,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:ACN,ACN,Accenture plc,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:ADBE,ADBE,Adobe Inc.,Nasdaq,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:ADP,ADP,"Automatic Data Processing, Inc.",Nasdaq,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:AEP,AEP,"American Electric Power Company, Inc.",Nasdaq,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:AMT,AMT,American Tower Corporation,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:AMZN,AMZN,"Amazon.com, Inc.",Nasdaq,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:APD,APD,"Air Products and Chemicals, Inc.",NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:ASML,ASML,ASML Holding N.V.,Nasdaq,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:AVGO,AVGO,Broadcom Inc.,Nasdaq,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:AWK,AWK,"American Water Works Company, Inc.",NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:BA,BA,The Boeing Company,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:BABA,BABA,Alibaba Group Holding Limited,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:BAC,BAC,Bank of America Corporation,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:BBL,BBL,BHP Group,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:BHP,BHP,BHP Group,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:BP,BP,BP p.l.c.,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:BRK-A,BRK-A,Berkshire Hathaway Inc.,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:C-PJ,C-PJ,Citigroup Inc.,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:CAT,CAT,Caterpillar Inc.,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:CCI,CCI,Crown Castle International Corp.,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:CHTR,CHTR,"Charter Communications, Inc.",Nasdaq,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:CMCSA,CMCSA,Comcast Corporation,Nasdaq,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:COP,COP,ConocoPhillips,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:COST,COST,Costco Wholesale Corporation,Nasdaq,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:CSCO,CSCO,"Cisco Systems, Inc.",Nasdaq,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:CTA-PB,CTA-PB,E. I. du Pont de Nemours and Company,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:CVX,CVX,Chevron Corporation,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:D,D,"Dominion Energy, Inc.",NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:DE,DE,Deere & Company,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:DEO,DEO,Diageo plc,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:DHR,DHR,Danaher Corporation,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
CMIN-US:DIS,DIS,The Walt Disney Company,NYSE,2018-01-01,2021-12-31,CMIN-Dataset unified master,mapped
