date,ticker,company_name,gics_sector,gics_industry_group,gics_industry,gics_sub_industry,revision_id,revision_date,source,record_status
2018-03-31,AAPL,Apple Inc.,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,ABBV,AbbVie Inc.,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,ABT,Abbott Laboratories,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,ACN,Accenture plc,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,ADBE,Adobe Systems Inc,Information Technology,Software & Services,Software,Application Software,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,ADP,Automatic Data Processing,Information Technology,Software & Services,Internet Software & Services,Internet Software & Services,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,AEP,American Electric Power,Utilities,Utilities,Electric Utilities,Electric Utilities,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,AMT,American Tower Corp A,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,AMZN,Amazon.com Inc.,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,APD,Air Products & Chemicals Inc,Materials,Materials,Chemicals,Industrial Gases,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,ASML,ASML Holding N.V.,,,,,,,,missing_gics
2018-03-31,AVGO,Broadcom,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,AWK,American Water Works Company Inc,Utilities,Utilities,Water Utilities,Water Utilities,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,BA,Boeing Company,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,BABA,Alibaba Group Holding Limited,,,,,,,,missing_gics
2018-03-31,BAC,Bank of America Corp,Financials,Banks,Banks,Diversified Banks,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,BBL,BHP Group,,,,,,,,missing_gics
2018-03-31,BHP,BHP Group,,,,,,,,missing_gics
2018-03-31,BP,BP p.l.c.,,,,,,,,missing_gics
2018-03-31,BRK-A,Berkshire Hathaway Inc.,,,,,,,,missing_gics
2018-03-31,C-PJ,Citigroup Inc.,,,,,,,,missing_gics
2018-03-31,CAT,Caterpillar Inc.,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,CCI,Crown Castle International Corp.,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,CHTR,Charter Communications,Consumer Discretionary,Media,Media,Cable & Satellite,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,CMCSA,Comcast Corp.,Consumer Discretionary,Media,Media,Cable & Satellite,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,COP,ConocoPhillips,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,COST,Costco Wholesale Corp.,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,CSCO,Cisco Systems,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,CTA-PB,E. I. du Pont de Nemours and Company,,,,,,,,missing_gics
2018-03-31,CVX,Chevron Corp.,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,D,Dominion Energy,Utilities,Utilities,Electric Utilities,Electric Utilities,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,DE,Deere & Co.,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,DEO,Diageo plc,,,,,,,,missing_gics
2018-03-31,DHR,Danaher Corp.,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,DIS,The Walt Disney Company,Consumer Discretionary,Media,Media,Cable & Satellite,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,DLR,Digital Realty Trust Inc,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,DUK,Duke Energy,Utilities,Utilities,Electric Utilities,Electric Utilities,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,ECL,Ecolab Inc.,Materials,Materials,Chemicals,Specialty Chemicals,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,EL,Estee Lauder Cos.,Consumer Staples,Household & Personal Products,Personal Products,Personal Products,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,ENB,Enbridge Inc.,,,,,,,,missing_gics
2018-03-31,EQIX,Equinix,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,EQNR,Equinor ASA,,,,,,,,missing_gics
2018-03-31,EXC,Exelon Corp.,Utilities,Utilities,Multi-Utilities,Multi-Utilities,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,FB,"Facebook, Inc.",Information Technology,Software & Services,Internet Software & Services,Internet Software & Services,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,FCX,Freeport-McMoRan Inc.,Materials,Materials,Metals & Mining,Copper,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,GE,General Electric,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,GOOG,Alphabet Inc Class C,Information Technology,Software & Services,Internet Software & Services,Internet Software & Services,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,HD,Home Depot,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,HON,Honeywell Int'l Inc.,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,JD,"JD.com, Inc.",,,,,,,,missing_gics
2018-03-31,JNJ,Johnson & Johnson,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,JPM,JPMorgan Chase & Co.,Financials,Banks,Banks,Diversified Banks,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,KO,Coca-Cola Company (The),Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,LLY,Lilly (Eli) & Co.,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,LOW,Lowe's Cos.,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,MA,Mastercard Inc.,Information Technology,Software & Services,Internet Software & Services,Internet Software & Services,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,MCD,McDonald's Corp.,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,MMM,3M Company,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,MS,Morgan Stanley,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,MSFT,Microsoft Corp.,Information Technology,Software & Services,Software,Systems Software,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
2018-03-31,NEE,NextEra Energy,Utilities,Utilities,Multi-Utilities,Multi-Utilities,833052312,2018-03-29T12:07:46Z,https://en.wikipedia.org/w/index.php?oldid=833052312,matched_gics
