date,stock_ticker,stock_name,etf_ticker,theme,report_date,filing_date,market_value,shares,source,record_status
2018-03-31,AAPL,Apple Inc.,ARKG,Biotechnology,2018-01-31,2018-03-28,902113,5388,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-03-31,NVDA,NVIDIA Corporation,ARKG,Biotechnology,2018-01-31,2018-03-28,1106837,4503,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-03-31,NVDA,NVIDIA Corporation,ROBO,Robotics,2018-01-31,2018-03-30,27189659,110617,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-04-30,AAPL,Apple Inc.,ARKG,Biotechnology,2018-01-31,2018-03-28,902113,5388,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-04-30,NVDA,NVIDIA Corporation,ARKG,Biotechnology,2018-01-31,2018-03-28,1106837,4503,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-04-30,NVDA,NVIDIA Corporation,ROBO,Robotics,2018-01-31,2018-03-30,27189659,110617,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-05-31,AAPL,Apple Inc.,ARKG,Biotechnology,2018-01-31,2018-03-28,902113,5388,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-05-31,ABBV,AbbVie Inc.,XBI,Biotechnology,2018-03-31,2018-05-29,58798662,621222,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-05-31,NVDA,NVIDIA Corporation,ARKG,Biotechnology,2018-01-31,2018-03-28,1106837,4503,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-05-31,NVDA,NVIDIA Corporation,ROBO,Robotics,2018-01-31,2018-03-30,27189659,110617,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-06-30,AAPL,Apple Inc.,ARKG,Biotechnology,2018-04-30,2018-06-27,42164436,255140,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-06-30,ABBV,AbbVie Inc.,XBI,Biotechnology,2018-03-31,2018-05-29,58798662,621222,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-06-30,AMZN,"Amazon.com, Inc.",ARKG,Biotechnology,2018-04-30,2018-06-27,54321218,34685,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-06-30,AVGO,Broadcom Inc.,SMH,Semiconductor,2018-03-31,2018-06-08,53610846,227502,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
2018-06-30,DE,Deere & Company,ARKG,Biotechnology,2018-04-30,2018-06-27,2082052,15385,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,resolved_by_internal_name_propagation
