canonical_stock_id,ticker,company_name,cik,active_years
NASDAQ100:AAPL,AAPL,Apple Inc.,0000320193,"[2020, 2021, 2022, 2023]"
NASDAQ100:ABNB,ABNB,"Airbnb, Inc.",0001559720,"[2021, 2022, 2023]"
NASDAQ100:ADBE,ADBE,ADOBE INC.,0000796343,"[2020, 2021, 2022, 2023]"
NASDAQ100:ADI,ADI,ANALOG DEVICES INC,0000006281,"[2020, 2021, 2022, 2023]"
NASDAQ100:ADP,ADP,AUTOMATIC DATA PROCESSING INC,0000008670,"[2020, 2021, 2022, 2023]"
NASDAQ100:ADSK,ADSK,"Autodesk, Inc.",0000769397,"[2020, 2021, 2022, 2023]"
NASDAQ100:AEP,AEP,AMERICAN ELECTRIC POWER CO INC,0000004904,"[2020, 2021, 2022, 2023]"
NASDAQ100:ALGN,ALGN,ALIGN TECHNOLOGY INC,0001097149,"[2020, 2021, 2022]"
NASDAQ100:AMAT,AMAT,APPLIED MATERIALS INC /DE,0000006951,"[2020, 2021, 2022, 2023]"
NASDAQ100:AMD,AMD,ADVANCED MICRO DEVICES INC,0000002488,"[2020, 2021, 2022, 2023]"
NASDAQ100:AMGN,AMGN,AMGEN INC,0000318154,"[2020, 2021, 2022, 2023]"
NASDAQ100:AMZN,AMZN,AMAZON COM INC,0001018724,"[2020, 2021, 2022, 2023]"
NASDAQ100:ANSS,ANSS,"Ansys, Inc.",0001013462,"[2020, 2021, 2022, 2023]"
NASDAQ100:ASML,ASML,ASML HOLDING NV,0000937966,"[2020, 2021, 2022, 2023]"
NASDAQ100:AVGO,AVGO,Broadcom Inc.,0001730168,"[2020, 2021, 2022, 2023]"
NASDAQ100:AZN,AZN,ASTRAZENECA PLC,0000901832,"[2020, 2021, 2022, 2023]"
NASDAQ100:BIDU,BIDU,"Baidu, Inc.",0001329099,"[2020, 2021]"
NASDAQ100:BIIB,BIIB,BIOGEN INC.,0000875045,"[2020, 2021, 2022, 2023]"
NASDAQ100:BKNG,BKNG,Booking Holdings Inc.,0001075531,"[2020, 2021, 2022, 2023]"
NASDAQ100:BKR,BKR,Baker Hughes Co,0001701605,"[2022, 2023]"
NASDAQ100:CCEP,CCEP,COCA-COLA EUROPACIFIC PARTNERS plc,0001650107,[2023]
NASDAQ100:CDNS,CDNS,CADENCE DESIGN SYSTEMS INC,0000813672,"[2020, 2021, 2022, 2023]"
NASDAQ100:CDW,CDW,CDW Corp,0001402057,"[2020, 2023]"
NASDAQ100:CEG,CEG,Constellation Energy Corp,0001868275,"[2020, 2021, 2022, 2023]"
NASDAQ100:CERN,CERN,Cerner Corporation,0000804753,[2020]
NASDAQ100:CHKP,CHKP,CHECK POINT SOFTWARE TECHNOLOGIES LTD,0001015922,[2020]
NASDAQ100:CHTR,CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",0001091667,"[2020, 2021, 2022, 2023]"
NASDAQ100:CMCSA,CMCSA,COMCAST CORP,0001166691,"[2020, 2021, 2022, 2023]"
NASDAQ100:COST,COST,COSTCO WHOLESALE CORP /NEW,0000909832,"[2020, 2021, 2022, 2023]"
NASDAQ100:CPRT,CPRT,COPART INC,0000900075,"[2020, 2021, 2022, 2023]"
