date,stock_ticker,stock_name,etf_ticker,theme,report_date,filing_date,market_value,shares,source,record_status
2020-01-31,AAPL,Apple Inc.,ARKG,Biotechnology,2019-04-30,2019-06-27,6937563.0,34572.0,ETF_Holdings.csv::SEC_EDGAR::0001144204-19-032569,matched_concept
2020-01-31,ADBE,ADOBE INC.,IGV,Cloud Computing,2019-09-30,2019-11-25,218950225.0,792580.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-177737,matched_concept
2020-01-31,ADBE,ADOBE INC.,SKYY,Cloud Computing,2019-09-30,2019-11-19,47118857.5,170566.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-167454,matched_concept
2020-01-31,ADI,ANALOG DEVICES INC,GRID,Infrastructure,2019-09-30,2019-11-19,198767.67,1779.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-167457,matched_concept
2020-01-31,ADI,ANALOG DEVICES INC,PSI,Semiconductor,2019-10-31,2019-12-30,8461517.02,79354.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-205382,matched_concept
2020-01-31,ADI,ANALOG DEVICES INC,SMH,Semiconductor,2019-09-30,2019-11-19,60872291.68,544816.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-167594,matched_concept
2020-01-31,ADSK,"Autodesk, Inc.",IGV,Cloud Computing,2019-09-30,2019-11-25,78701945.0,532850.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-177737,matched_concept
2020-01-31,ADSK,"Autodesk, Inc.",ROBO,Robotics,2019-10-31,2019-12-19,11484059.52,77932.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-195798,matched_concept
2020-01-31,AMD,ADVANCED MICRO DEVICES INC,SMH,Semiconductor,2019-09-30,2019-11-19,60305026.99,2080201.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-167594,matched_concept
2020-01-31,AMGN,AMGEN INC,FBT,Biotechnology,2019-09-30,2019-11-26,65711932.29,339579.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-180159,matched_concept
2020-01-31,AMGN,AMGEN INC,IBB,Biotechnology,2019-09-30,2019-11-25,507157006.81,2620831.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-177843,matched_concept
2020-01-31,AMGN,AMGEN INC,PBE,Biotechnology,2019-10-31,2019-12-30,11354709.5,53246.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-205362,matched_concept
2020-01-31,AMGN,AMGEN INC,XBI,Biotechnology,2019-09-30,2019-11-27,62681952.71,323921.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-184308,matched_concept
2020-01-31,AMZN,AMAZON COM INC,FDN,Internet,2019-09-30,2019-11-26,711112059.68,409648.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-180161,matched_concept
2020-01-31,AMZN,AMAZON COM INC,PNQI,Internet,2019-10-31,2019-12-30,43068015.06,24241.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-205383,matched_concept
2020-01-31,AMZN,AMAZON COM INC,SKYY,Cloud Computing,2019-09-30,2019-11-19,94850122.4,54640.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-167454,matched_concept
2020-01-31,ANSS,"Ansys, Inc.",IGV,Cloud Computing,2019-09-30,2019-11-25,45185110.0,204125.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-177737,matched_concept
2020-01-31,ASML,ASML HOLDING NV,SMH,Semiconductor,2019-09-30,2019-11-19,70540846.36,283958.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-167594,matched_concept
2020-01-31,AVGO,Broadcom Inc.,CIBR,Cybersecurity,2019-09-30,2019-11-19,58739413.9,212770.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-167453,matched_concept
2020-01-31,AVGO,Broadcom Inc.,PSI,Semiconductor,2019-10-31,2019-12-30,8940710.5,30530.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-205382,matched_concept
2020-01-31,AVGO,Broadcom Inc.,SMH,Semiconductor,2019-09-30,2019-11-19,64512037.6,233680.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-167594,matched_concept
2020-01-31,BIDU,"Baidu, Inc.",PNQI,Internet,2019-10-31,2019-12-30,17055088.05,167453.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-205383,matched_concept
2020-01-31,BIIB,BIOGEN INC.,FBT,Biotechnology,2019-09-30,2019-11-26,60926665.8,261690.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-180159,matched_concept
2020-01-31,BIIB,BIOGEN INC.,IBB,Biotechnology,2019-09-30,2019-11-25,289663468.64,1244152.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-177843,matched_concept
2020-01-31,BIIB,BIOGEN INC.,PBE,Biotechnology,2019-10-31,2019-12-30,14953123.89,50059.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-205362,matched_concept
2020-01-31,BIIB,BIOGEN INC.,XBI,Biotechnology,2019-09-30,2019-11-27,62314738.64,267652.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-184308,matched_concept
2020-01-31,BKNG,Booking Holdings Inc.,PNQI,Internet,2019-10-31,2019-12-30,22427885.19,10947.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-205383,matched_concept
2020-01-31,CDNS,CADENCE DESIGN SYSTEMS INC,IGV,Cloud Computing,2019-09-30,2019-11-25,44941602.72,680109.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-177737,matched_concept
2020-01-31,CDNS,CADENCE DESIGN SYSTEMS INC,ROBO,Robotics,2019-10-31,2019-12-19,10938479.05,167383.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-195798,matched_concept
2020-01-31,CDNS,CADENCE DESIGN SYSTEMS INC,SMH,Semiconductor,2019-09-30,2019-11-19,30867884.32,467129.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-167594,matched_concept
2020-01-31,CRWD,"CrowdStrike Holdings, Inc.",HACK,Cybersecurity,2019-09-30,2019-11-22,13767807.34,236114.0,ETF_Holdings.csv::SEC_EDGAR::0001145549-19-044304,matched_concept
2020-01-31,CSCO,"CISCO SYSTEMS, INC.",CIBR,Cybersecurity,2019-09-30,2019-11-19,63478015.2,1284720.0,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-167453,matched_concept
