date,src_ticker,dst_ticker,relation_type,shared_etf_ticker,shared_theme,shared_concept_count,edge_weight,source,record_status
2020-01-31,AAPL,ILMN,same_theme_etf_holding,ARKG,Biotechnology,1,0.010134737785038329,ETF_Holdings.csv::SEC_EDGAR::0001144204-19-032569,matched_concept
2020-01-31,AAPL,INCY,same_theme_etf_holding,ARKG,Biotechnology,1,0.0049015215263275595,ETF_Holdings.csv::SEC_EDGAR::0001144204-19-032569,matched_concept
2020-01-31,AAPL,NVDA,same_theme_etf_holding,ARKG,Biotechnology,1,0.004728753067659301,ETF_Holdings.csv::SEC_EDGAR::0001144204-19-032569,matched_concept
2020-01-31,AAPL,REGN,same_theme_etf_holding,ARKG,Biotechnology,1,0.004117045541264456,ETF_Holdings.csv::SEC_EDGAR::0001144204-19-032569,matched_concept
2020-01-31,ADBE,ADSK,same_theme_etf_holding,IGV,Cloud Computing,1,0.04735078903966654,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-177737,matched_concept
2020-01-31,ADBE,AMZN,same_theme_etf_holding,SKYY,Cloud Computing,1,0.03030595252242837,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-167454,matched_concept
2020-01-31,ADBE,ANSS,same_theme_etf_holding,IGV,Cloud Computing,1,0.03587832500173785,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-177737,matched_concept
2020-01-31,ADBE,CDNS,same_theme_etf_holding,IGV,Cloud Computing,1,0.035781518378786924,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-177737,matched_concept
2020-01-31,ADBE,CSCO,same_theme_etf_holding,SKYY,Cloud Computing,1,0.02571648466590013,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-167454,matched_concept
2020-01-31,ADBE,DOCU,same_theme_etf_holding,SKYY,Cloud Computing,1,0.014412742505158713,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-167454,matched_concept
2020-01-31,ADBE,EA,same_theme_etf_holding,IGV,Cloud Computing,1,0.04464136600776176,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-177737,matched_concept
2020-01-31,ADBE,INTU,same_theme_etf_holding,IGV|SKYY,Cloud Computing,2,0.08115280786341189,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-167454|ETF_Holdings.csv::SEC_EDGAR::0001752724-19-177737,matched_concept
2020-01-31,ADBE,MSFT,same_theme_etf_holding,IGV|SKYY,Cloud Computing,2,0.11045037382873692,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-167454|ETF_Holdings.csv::SEC_EDGAR::0001752724-19-177737,matched_concept
2020-01-31,ADBE,SNPS,same_theme_etf_holding,IGV,Cloud Computing,1,0.03776489786493961,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-177737,matched_concept
2020-01-31,ADBE,SPLK,same_theme_etf_holding,IGV|SKYY,Cloud Computing,2,0.057237247342711337,ETF_Holdings.csv::SEC_EDGAR::0001752724-19-167454|ETF_Holdings.csv::SEC_EDGAR::0001752724-19-177737,matched_concept
