stock_pool,ticker,company_name,cusip,cusip8,security_name_evidence,first_report_date,last_report_date,matched_holding_rows,matched_etf_count,resolution_method,resolution_confidence,source,record_status
CMIN-US,AAPL,Apple Inc.,037833100,03783310,Apple Inc || Apple Inc.,2020-04-30,2024-10-31,11,4,cusip_from_etf_holdings_name_exact,high,ETF_Holdings.csv,resolved_cusip
CMIN-US,ABBV,AbbVie Inc.,00287Y109,00287Y10,"AbbVie Inc || AbbVie, Inc.",2019-09-30,2024-09-30,23,3,cusip_from_etf_holdings_name_exact,high,ETF_Holdings.csv,resolved_cusip
CMIN-US,ABT,Abbott Laboratories,002824100,00282410,ABBOTT LABORATORIES || Abbott Laboratories,2019-09-30,2024-09-30,22,2,cusip_from_etf_holdings_name_exact,high,ETF_Holdings.csv,resolved_cusip
CMIN-US,ACN,Accenture plc,,,,,,0,0,,,target_stock_universe,no_cusip_found
CMIN-US,ADBE,Adobe Inc.,00724F101,00724F10,"Adobe Inc || Adobe Inc. || Adobe, Inc.",2019-09-30,2024-10-31,68,4,cusip_from_etf_holdings_name_exact,high,ETF_Holdings.csv,resolved_cusip
CMIN-US,ADP,"Automatic Data Processing, Inc.",,,,,,0,0,,,target_stock_universe,no_cusip_found
CMIN-US,AEP,"American Electric Power Company, Inc.",,,,,,0,0,,,target_stock_universe,no_cusip_found
CMIN-US,AMT,American Tower Corporation,,,,,,0,0,,,target_stock_universe,no_cusip_found
CMIN-US,AMZN,"Amazon.com, Inc.",023135106,02313510,"Amazon.com Inc || Amazon.com, Inc.",2019-09-30,2024-10-31,75,5,cusip_from_etf_holdings_name_exact,high,ETF_Holdings.csv,resolved_cusip
CMIN-US,APD,"Air Products and Chemicals, Inc.",009158106,00915810,"Air Products and Chemicals, Inc.",2019-10-31,2021-04-30,7,1,cusip_from_etf_holdings_name_exact,high,ETF_Holdings.csv,resolved_cusip
CMIN-US,ASML,ASML Holding N.V.,,,,,,0,0,,,target_stock_universe,no_cusip_found
