date,ticker,company_name,gics_sector,gics_industry_group,gics_industry,gics_sub_industry,source,revision_date,revision_id
2018-01-31,A,Agilent Technologies Inc,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,AAL,American Airlines Group,Industrials,Transportation,Airlines,Airlines,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,AAP,Advance Auto Parts,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,AAPL,Apple Inc.,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,ABBV,AbbVie Inc.,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,ABC,AmerisourceBergen Corp,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,ABT,Abbott Laboratories,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,ACN,Accenture plc,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,ADBE,Adobe Systems Inc,Information Technology,Software & Services,Software,Application Software,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,ADM,Archer-Daniels-Midland Co,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,ADP,Automatic Data Processing,Information Technology,Software & Services,Internet Software & Services,Internet Software & Services,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,ADS,Alliance Data Systems,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,ADSK,Autodesk Inc,Information Technology,Software & Services,Software,Application Software,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,AEE,Ameren Corp,Utilities,Utilities,Multi-Utilities,Multi-Utilities,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,AEP,American Electric Power,Utilities,Utilities,Electric Utilities,Electric Utilities,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,AES,AES Corp,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,AET,Aetna Inc,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,AFL,AFLAC Inc,Financials,Insurance,Insurance,Life & Health Insurance,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,AGN,"Allergan, Plc",Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,AIG,"American International Group, Inc.",Financials,Insurance,Insurance,Property & Casualty Insurance,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,AIV,Apartment Investment & Management,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,AIZ,Assurant Inc,Financials,Insurance,Insurance,Multi-line Insurance,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,AJG,Arthur J. Gallagher & Co.,Financials,Insurance,Insurance,Insurance Brokers,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
2018-01-31,AKAM,Akamai Technologies Inc,Information Technology,Software & Services,Internet Software & Services,Internet Software & Services,https://en.wikipedia.org/w/index.php?oldid=821321383,2018-01-19T19:04:07Z,821321383
